timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;0.0;0.0;0.0
100;0.0;0.0;0.0
200;0.0;0.0;0.0
300;0.0;0.0;0.0
400;0.0;0.0;0.0
500;0.0;0.0;0.0
600;0.0;0.0;0.0
700;0.0;0.0;0.0
800;0.0;0.0;0.0
900;0.0;0.0;0.0
1000;0.0;0.0;0.0
1100;0.0;0.0;0.0
1200;0.0;0.0;0.0
1300;0.0;0.0;0.0
1400;0.0;0.0;0.0
1500;0.0;0.0;0.0
1600;0.0;0.0;0.0
1700;0.0;0.0;0.0
1800;0.0;0.0;0.0
1900;0.0;0.0;0.0
2000;0.0;0.0;0.0
2100;0.0;0.0;0.0
2200;0.0;0.0;0.0
2300;0.0;0.0;0.0
2400;0.0;0.0;0.0
2500;0.0;0.0;0.0
2600;0.0;0.0;0.0
2700;0.0;0.0;0.0
2800;0.0;0.0;0.0
2900;0.0;0.0;0.0
3000;0.0;0.0;0.0
3100;0.0;0.0;0.0
3200;0.0;0.0;0.0
3300;0.0;0.0;0.0
3400;0.0;0.0;0.0
3500;0.0;0.0;0.0
3600;-15.0;-15.0;0.0
3700;15.0;15.0;0.0
3800;-24.5;2.5;-27.0
3900;-5.0;10.0;-15.0
4000;-2.0;10.0;-12.0
4100;-28.0;20.0;-48.0
4200;3.5;12.5;-9.0
4300;35.0;5.0;30.0
4400;-13.0;5.0;-18.0
4500;1.0;10.0;-9.0
4600;-4.0;5.0;-9.0
4700;-30.0;-30.0;0.0
4800;8.5;17.5;-9.0
4900;10.0;10.0;0.0
5000;0.0;15.0;-15.0
5100;7.0;10.0;-3.0
5200;-29.0;10.0;-39.0
5300;20.5;10.0;10.5
5400;34.0;10.0;24.0
5500;15.5;5.0;10.5
5600;4.5;7.5;-3.0
5700;13.0;2.5;10.5
5800;15.5;5.0;10.5
5900;20.5;10.0;10.5
6000;-53.0;10.0;-63.0
6100;43.0;10.0;33.0
6200;19.0;10.0;9.0
6300;19.0;10.0;9.0
6400;48.0;15.0;33.0
6500;24.0;15.0;9.0
6600;-150.5;-7.5;-143.0
6700;48.0;15.0;33.0
6800;24.0;15.0;9.0
6900;24.0;15.0;9.0
7000;32.0;15.0;17.0
7100;40.0;15.0;25.0
7200;35.0;10.0;25.0
7300;40.0;15.0;25.0
7400;42.5;17.5;25.0
7500;99.0;50.0;49.0
7600;35.0;10.0;25.0
7700;11.0;10.0;1.0
7800;45.0;20.0;25.0
7900;58.0;33.0;25.0
8000;75.0;18.0;57.0
8100;84.0;43.0;41.0
8200;84.0;43.0;41.0
8300;60.0;43.0;17.0
8400;60.0;43.0;17.0
8500;84.0;43.0;41.0
8600;91.5;50.5;41.0
8700;-15.0;48.0;-63.0
8800;89.0;48.0;41.0
8900;103.0;38.0;65.0
9000;132.0;83.0;49.0
9100;100.0;43.0;57.0
9200;92.5;35.5;57.0
9300;6.0;43.0;-37.0
9400;87.0;3.0;84.0
9500;127.0;43.0;84.0
9600;122.0;38.0;84.0
9700;107.0;23.0;84.0
9800;117.0;33.0;84.0
9900;117.0;33.0;84.0
10000;128.0;33.0;95.0
10100;144.0;38.0;106.0
10200;106.0;33.0;73.0
10300;139.0;33.0;106.0
10400;98.5;25.5;73.0
10500;139.0;33.0;106.0
10600;139.0;33.0;106.0
10700;139.0;33.0;106.0
10800;172.0;33.0;139.0
10900;134.0;28.0;106.0
11000;105.0;-12.0;117.0
11100;156.0;28.0;128.0
11200;166.0;38.0;128.0
11300;161.0;33.0;128.0
11400;166.0;38.0;128.0
11500;70.0;33.0;37.0
11600;147.5;33.0;114.5
11700;-49.0;38.0;-87.0
11800;147.5;33.0;114.5
11900;302.5;33.0;269.5
12000;168.0;38.0;130.0
12100;171.0;25.5;145.5
12200;218.5;73.0;145.5
12300;124.5;25.5;99.0
12400;173.5;28.0;145.5
12500;168.5;23.0;145.5
12600;181.0;35.5;145.5
12700;222.5;30.5;192.0
12800;178.5;33.0;145.5
12900;173.5;28.0;145.5
13000;121.0;-40.0;161.0
13100;213.5;37.0;176.5
