timestamp;total;HYDROGEL_PACK;VELVETFRUIT_EXTRACT;VEV_4000;VEV_4500;VEV_5000;VEV_5100;VEV_5200;VEV_5300;VEV_5400;VEV_5500;VEV_6000;VEV_6500
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
100;-122.5;0.0;-122.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
200;-229.0;0.0;-229.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
300;-331.5;0.0;-331.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
400;-291.0;0.0;-291.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
500;-264.5;0.0;-166.0;0.0;0.0;-97.0;-1.5;0.0;0.0;0.0;0.0;0.0;0.0
600;-556.0;0.0;-316.0;0.0;0.0;-206.0;-34.0;0.0;0.0;0.0;0.0;0.0;0.0
700;-829.5;0.0;-391.0;0.0;0.0;-359.0;-79.5;0.0;0.0;0.0;0.0;0.0;0.0
800;-1344.0;0.0;-616.0;0.0;0.0;-531.0;-197.0;0.0;0.0;0.0;0.0;0.0;0.0
900;-1317.5;0.0;-616.0;0.0;0.0;-533.0;-168.5;0.0;0.0;0.0;0.0;0.0;0.0
1000;-1492.0;0.0;-541.0;0.0;0.0;-750.0;-201.0;0.0;0.0;0.0;0.0;0.0;0.0
1100;-1944.5;0.0;-616.0;0.0;0.0;-1057.0;-271.5;0.0;0.0;0.0;0.0;0.0;0.0
1200;-2258.5;0.0;-766.0;0.0;0.0;-1159.5;-333.0;0.0;0.0;0.0;0.0;0.0;0.0
1300;-2440.5;0.0;-766.0;0.0;0.0;-1298.0;-376.5;0.0;0.0;0.0;0.0;0.0;0.0
1400;-2352.0;0.0;-691.0;0.0;0.0;-1298.0;-351.0;-12.0;0.0;0.0;0.0;0.0;0.0
1500;-2132.5;0.0;-616.0;0.0;0.0;-1068.0;-428.5;-20.0;0.0;0.0;0.0;0.0;0.0
1600;-2202.0;0.0;-616.0;0.0;0.0;-1068.0;-491.0;-27.0;0.0;0.0;0.0;0.0;0.0
1700;-2881.5;0.0;-766.0;0.0;0.0;-1298.0;-732.0;-85.5;0.0;0.0;0.0;0.0;0.0
1800;-3288.0;0.0;-841.0;0.0;0.0;-1528.0;-732.0;-161.0;-26.0;0.0;0.0;0.0;0.0
1900;-3005.5;0.0;-541.0;0.0;0.0;-1528.0;-732.0;-169.5;-35.0;0.0;0.0;0.0;0.0
2000;-2022.5;0.0;-466.0;0.0;0.0;-1068.0;-380.0;-95.5;-13.0;0.0;0.0;0.0;0.0
2100;-2147.5;0.0;-541.0;0.0;0.0;-1068.0;-380.0;-101.5;-57.0;0.0;0.0;0.0;0.0
2200;-3142.0;0.0;-766.0;0.0;0.0;-1298.0;-732.0;-218.5;-127.5;0.0;0.0;0.0;0.0
2300;-1772.0;0.0;-466.0;0.0;0.0;-838.0;-380.0;-43.0;-45.0;0.0;0.0;0.0;0.0
2400;-2268.5;0.0;-541.0;0.0;0.0;-1068.0;-468.0;-101.5;-90.0;0.0;0.0;0.0;0.0
2500;-979.0;0.0;-241.0;0.0;0.0;-608.0;-204.0;74.0;0.0;0.0;0.0;0.0;0.0
2600;-754.0;0.0;-16.0;0.0;0.0;-608.0;-204.0;74.0;0.0;0.0;0.0;0.0;0.0
2700;-394.5;0.0;-166.0;0.0;0.0;-378.0;-28.0;132.5;45.0;0.0;0.0;0.0;0.0
2800;265.0;0.0;-16.0;0.0;0.0;-148.0;148.0;191.0;90.0;0.0;0.0;0.0;0.0
2900;323.5;0.0;-16.0;0.0;0.0;-148.0;148.0;249.5;90.0;0.0;0.0;0.0;0.0
3000;588.5;0.0;134.0;0.0;0.0;-33.0;148.0;249.5;90.0;0.0;0.0;0.0;0.0
3100;323.5;0.0;-16.0;0.0;0.0;-148.0;148.0;249.5;90.0;0.0;0.0;0.0;0.0
3200;5.0;0.0;-101.0;0.0;0.0;-303.0;148.0;177.0;84.0;0.0;0.0;0.0;0.0
3300;-581.0;0.0;-281.0;0.0;0.0;-423.0;-28.0;115.0;36.0;0.0;0.0;0.0;0.0
3400;893.0;0.0;79.0;0.0;0.0;57.0;324.0;301.0;132.0;0.0;0.0;0.0;0.0
3500;1599.0;0.0;259.0;0.0;0.0;297.0;500.0;363.0;180.0;0.0;0.0;0.0;0.0
3600;1045.0;0.0;169.0;0.0;0.0;57.0;324.0;363.0;132.0;0.0;0.0;0.0;0.0
3700;893.0;0.0;79.0;0.0;0.0;57.0;324.0;301.0;132.0;0.0;0.0;0.0;0.0
3800;-491.0;0.0;-191.0;0.0;0.0;-423.0;-28.0;115.0;36.0;0.0;0.0;0.0;0.0
3900;-629.0;0.0;-281.0;0.0;0.0;-423.0;-28.0;115.0;-12.0;0.0;0.0;0.0;0.0
4000;-581.0;0.0;-281.0;0.0;0.0;-423.0;-28.0;115.0;36.0;0.0;0.0;0.0;0.0
4100;-1795.0;0.0;-371.0;0.0;0.0;-1023.0;-380.0;-9.0;-12.0;0.0;0.0;0.0;0.0
4200;-1204.5;0.0;-371.0;-5.0;-2.5;-663.0;-204.0;53.0;-12.0;0.0;0.0;0.0;0.0
4300;-2077.5;0.0;-641.0;-10.0;-12.5;-903.0;-380.0;-71.0;-60.0;0.0;0.0;0.0;0.0
4400;-583.5;0.0;-281.0;0.0;-2.5;-423.0;-28.0;115.0;36.0;0.0;0.0;0.0;0.0
4500;-1312.5;54.0;-461.0;-10.0;-7.5;-663.0;-204.0;-9.0;-12.0;0.0;0.0;0.0;0.0
4600;-1257.0;45.0;-461.0;-7.5;-7.5;-663.0;-204.0;53.0;-12.0;0.0;0.0;0.0;0.0
4700;-2757.5;78.0;-641.0;-40.0;-32.5;-1263.0;-556.0;-195.0;-108.0;0.0;0.0;0.0;0.0
4800;-1424.5;60.0;-461.0;-10.0;-5.5;-783.0;-204.0;-9.0;-12.0;0.0;0.0;0.0;0.0
4900;-1652.5;42.0;-551.0;-10.0;-5.5;-903.0;-204.0;-9.0;-12.0;0.0;0.0;0.0;0.0
5000;-1250.0;48.0;-461.0;-5.5;-5.5;-663.0;-204.0;53.0;-12.0;0.0;0.0;0.0;0.0
5100;-1318.0;42.0;-461.0;-5.5;-5.5;-663.0;-204.0;-9.0;-12.0;0.0;0.0;0.0;0.0
5200;-1108.5;24.0;-371.0;-1.0;3.5;-663.0;-204.0;115.0;-12.0;0.0;0.0;0.0;0.0
5300;-556.0;18.0;-281.0;3.5;3.5;-423.0;-28.0;115.0;36.0;0.0;0.0;0.0;0.0
5400;19.5;-6.0;-101.0;8.0;12.5;-303.0;148.0;177.0;84.0;0.0;0.0;0.0;0.0
5500;-1295.0;3.0;-461.0;-5.5;-5.5;-663.0;-204.0;53.0;-12.0;0.0;0.0;0.0;0.0
5600;-2059.0;25.0;-641.0;-14.5;-14.5;-903.0;-380.0;-71.0;-60.0;0.0;0.0;0.0;0.0
5700;-2081.0;3.0;-641.0;-14.5;-14.5;-903.0;-380.0;-71.0;-60.0;0.0;0.0;0.0;0.0
5800;-2874.5;3.0;-641.0;-64.0;-50.5;-1263.0;-556.0;-195.0;-108.0;0.0;0.0;0.0;0.0
5900;-1272.0;14.0;-461.0;4.0;-3.0;-663.0;-204.0;53.0;-12.0;0.0;0.0;0.0;0.0
6000;-1319.0;36.0;-461.0;-3.0;-3.0;-663.0;-204.0;-9.0;-12.0;0.0;0.0;0.0;0.0
6100;-1865.0;58.0;-551.0;-10.0;-10.0;-903.0;-380.0;-9.0;-60.0;0.0;0.0;0.0;0.0
6200;-2765.0;58.0;-821.0;-31.0;-31.0;-1143.0;-556.0;-133.0;-108.0;0.0;0.0;0.0;0.0
6300;-1649.0;80.0;-281.0;-17.0;-17.0;-903.0;-380.0;-71.0;-60.0;0.0;0.0;0.0;0.0
6400;-668.0;69.0;-284.0;4.0;11.0;-543.0;-28.0;115.0;-12.0;0.0;0.0;0.0;0.0
6500;-2057.0;47.0;-656.0;-17.0;-17.0;-903.0;-380.0;-71.0;-60.0;0.0;0.0;0.0;0.0
6600;-2396.0;69.0;-470.0;-24.0;-31.0;-1143.0;-556.0;-133.0;-108.0;0.0;0.0;0.0;0.0
6700;-1961.0;80.0;-662.0;-10.0;-17.0;-903.0;-380.0;-9.0;-60.0;0.0;0.0;0.0;0.0
6800;-2767.0;80.0;-852.0;-24.0;-31.0;-1143.0;-556.0;-133.0;-108.0;0.0;0.0;0.0;0.0
6900;-2004.0;113.0;-662.0;-24.0;-17.0;-903.0;-380.0;-71.0;-60.0;0.0;0.0;0.0;0.0
7000;-1979.0;124.0;-662.0;-10.0;-17.0;-903.0;-380.0;-71.0;-60.0;0.0;0.0;0.0;0.0
7100;-2019.0;91.0;-662.0;-17.0;-17.0;-903.0;-380.0;-71.0;-60.0;0.0;0.0;0.0;0.0
7200;-2030.0;80.0;-662.0;-17.0;-17.0;-903.0;-380.0;-71.0;-60.0;0.0;0.0;0.0;0.0
7300;-1877.0;69.0;-567.0;-10.0;-17.0;-903.0;-380.0;-9.0;-60.0;0.0;0.0;0.0;0.0
7400;-2822.0;25.0;-852.0;-24.0;-31.0;-1143.0;-556.0;-133.0;-108.0;0.0;0.0;0.0;0.0
7500;-1446.0;47.0;-472.0;-10.0;-3.0;-783.0;-204.0;-9.0;-12.0;0.0;0.0;0.0;0.0
7600;-2882.0;69.0;-662.0;-94.0;-73.0;-1263.0;-556.0;-195.0;-108.0;0.0;0.0;0.0;0.0
7700;-2226.5;80.0;-662.0;-29.0;-19.5;-1023.0;-380.0;-133.0;-60.0;0.0;0.0;0.0;0.0
7800;-3625.5;69.0;-1042.0;-67.0;-57.5;-1383.0;-732.0;-257.0;-156.0;0.0;0.0;0.0;0.0
7900;-3595.5;80.0;-1042.0;-48.0;-57.5;-1383.0;-732.0;-257.0;-156.0;0.0;0.0;0.0;0.0
8000;-4058.0;91.0;-1137.0;-67.0;-67.0;-1623.0;-732.0;-319.0;-204.0;0.0;0.0;0.0;0.0
8100;-4441.5;69.0;-1232.0;-86.0;-76.5;-1623.0;-908.0;-381.0;-204.0;0.0;0.0;0.0;0.0
8200;-4081.5;58.0;-1137.0;-67.0;-57.5;-1623.0;-732.0;-319.0;-204.0;0.0;0.0;0.0;0.0
8300;-4835.5;58.0;-1327.0;-86.0;-76.5;-1863.0;-908.0;-381.0;-252.0;0.0;0.0;0.0;0.0
8400;-3273.5;69.0;-947.0;-48.0;-57.5;-1383.0;-556.0;-195.0;-156.0;0.0;0.0;0.0;0.0
8500;-3603.5;91.0;-1042.0;-67.0;-57.5;-1383.0;-732.0;-257.0;-156.0;0.0;0.0;0.0;0.0
8600;-3594.0;91.0;-1042.0;-57.5;-57.5;-1383.0;-732.0;-257.0;-156.0;0.0;0.0;0.0;0.0
8700;-3651.5;91.0;-1042.0;-67.0;-57.5;-1383.0;-732.0;-257.0;-204.0;0.0;0.0;0.0;0.0
8800;-4004.5;135.0;-1137.0;-67.0;-57.5;-1623.0;-732.0;-319.0;-204.0;0.0;0.0;0.0;0.0
8900;-4355.0;146.0;-1232.0;-76.5;-76.5;-1623.0;-908.0;-381.0;-204.0;0.0;0.0;0.0;0.0
9000;-3559.5;135.0;-1042.0;-67.0;-57.5;-1383.0;-732.0;-257.0;-156.0;0.0;0.0;0.0;0.0
9100;-4788.5;124.0;-1327.0;-86.0;-95.5;-1863.0;-908.0;-381.0;-252.0;0.0;0.0;0.0;0.0
9200;-4118.5;135.0;-1232.0;-67.0;-76.5;-1623.0;-732.0;-319.0;-204.0;0.0;0.0;0.0;0.0
9300;-2772.5;168.0;-852.0;-48.0;-38.5;-1143.0;-556.0;-195.0;-108.0;0.0;0.0;0.0;0.0
9400;-3214.5;190.0;-947.0;-48.0;-57.5;-1383.0;-556.0;-257.0;-156.0;0.0;0.0;0.0;0.0
9500;-2730.0;201.0;-852.0;-38.5;-38.5;-1143.0;-556.0;-195.0;-108.0;0.0;0.0;0.0;0.0
9600;-2646.0;223.0;-852.0;-38.5;-38.5;-1143.0;-556.0;-133.0;-108.0;0.0;0.0;0.0;0.0
9700;-3353.5;234.0;-1042.0;-48.0;-57.5;-1383.0;-644.0;-257.0;-156.0;0.0;0.0;0.0;0.0
9800;-2613.0;256.0;-852.0;-38.5;-38.5;-1143.0;-556.0;-133.0;-108.0;0.0;0.0;0.0;0.0
9900;-1816.5;289.0;-662.0;-10.0;-19.5;-903.0;-380.0;-71.0;-60.0;0.0;0.0;0.0;0.0
10000;-1815.0;300.0;-662.0;-19.5;-19.5;-903.0;-380.0;-71.0;-60.0;0.0;0.0;0.0;0.0
10100;-1622.5;278.0;-567.0;-10.0;-19.5;-903.0;-380.0;-9.0;-12.0;0.0;0.0;0.0;0.0
10200;-78.5;311.0;3.0;9.0;18.5;-543.0;-28.0;115.0;36.0;0.0;0.0;0.0;0.0
10300;-407.5;267.0;-282.0;9.0;18.5;-543.0;-28.0;115.0;36.0;0.0;0.0;0.0;0.0
10400;975.5;245.0;-187.0;47.0;56.5;57.0;324.0;301.0;132.0;0.0;0.0;0.0;0.0
10500;348.0;267.0;-282.0;37.5;37.5;-183.0;148.0;239.0;84.0;0.0;0.0;0.0;0.0
10600;443.0;234.0;-92.0;37.5;37.5;-183.0;148.0;177.0;84.0;0.0;0.0;0.0;0.0
10700;1288.5;256.0;105.5;56.5;56.5;57.0;324.0;301.0;132.0;0.0;0.0;0.0;0.0
10800;574.0;289.0;-87.5;47.0;37.5;-183.0;148.0;239.0;84.0;0.0;0.0;0.0;0.0
10900;597.5;322.0;-87.5;37.5;37.5;-183.0;148.0;239.0;84.0;0.0;0.0;0.0;0.0
11000;1342.0;300.0;105.5;66.0;56.5;57.0;324.0;301.0;132.0;0.0;0.0;0.0;0.0
11100;553.5;278.0;-87.5;37.5;37.5;-183.0;148.0;239.0;84.0;0.0;0.0;0.0;0.0
11200;340.0;256.0;-87.5;28.0;37.5;-303.0;148.0;177.0;84.0;0.0;0.0;0.0;0.0
11300;520.5;245.0;-87.5;37.5;37.5;-183.0;148.0;239.0;84.0;0.0;0.0;0.0;0.0
11400;-713.0;278.0;-280.5;9.0;18.5;-663.0;-116.0;53.0;-12.0;0.0;0.0;0.0;0.0
11500;531.5;256.0;-87.5;37.5;37.5;-183.0;148.0;239.0;84.0;0.0;0.0;0.0;0.0
11600;276.5;256.0;-280.5;37.5;37.5;-183.0;148.0;177.0;84.0;0.0;0.0;0.0;0.0
11700;647.0;256.0;9.0;47.0;47.0;-183.0;148.0;239.0;84.0;0.0;0.0;0.0;0.0
11800;458.5;245.0;-87.5;37.5;37.5;-183.0;148.0;177.0;84.0;0.0;0.0;0.0;0.0
11900;615.5;234.0;9.0;47.0;37.5;-183.0;148.0;239.0;84.0;0.0;0.0;0.0;0.0
12000;-963.5;212.0;-377.0;9.0;18.5;-663.0;-204.0;53.0;-12.0;0.0;0.0;0.0;0.0
12100;-291.5;146.0;-184.0;28.0;18.5;-423.0;-28.0;115.0;36.0;0.0;0.0;0.0;0.0
12200;1101.5;179.0;105.5;56.5;56.5;57.0;324.0;239.0;84.0;0.0;0.0;0.0;0.0
12300;1163.0;146.0;9.0;66.0;66.0;57.0;324.0;363.0;132.0;0.0;0.0;0.0;0.0
12400;1462.0;146.0;298.5;66.0;75.5;57.0;324.0;363.0;132.0;0.0;0.0;0.0;0.0
12500;2764.0;146.0;491.5;104.0;94.5;537.0;676.0;487.0;228.0;0.0;0.0;0.0;0.0
12600;3700.0;157.0;781.0;123.0;123.0;777.0;852.0;611.0;276.0;0.0;0.0;0.0;0.0
12700;3237.5;168.0;684.5;113.5;113.5;657.0;676.0;549.0;276.0;0.0;0.0;0.0;0.0
12800;4088.5;190.0;877.5;132.5;132.5;1017.0;852.0;611.0;276.0;0.0;0.0;0.0;0.0
12900;3077.0;179.0;781.0;94.5;94.5;537.0;676.0;487.0;228.0;0.0;0.0;0.0;0.0
13000;3195.0;135.0;684.5;104.0;113.5;657.0;676.0;549.0;276.0;0.0;0.0;0.0;0.0
13100;3171.5;102.0;684.5;113.5;113.5;657.0;676.0;549.0;276.0;0.0;0.0;0.0;0.0
13200;3319.0;41.5;684.5;113.5;113.5;777.0;764.0;549.0;276.0;0.0;0.0;0.0;0.0
13300;3030.0;80.0;684.5;104.0;113.5;657.0;676.0;487.0;228.0;0.0;0.0;0.0;0.0
13400;3357.5;80.0;684.5;113.5;113.5;777.0;764.0;549.0;276.0;0.0;0.0;0.0;0.0
13500;2665.0;47.0;491.5;104.0;94.5;537.0;676.0;487.0;228.0;0.0;0.0;0.0;0.0
13600;2483.0;58.0;298.5;104.0;94.5;537.0;676.0;487.0;228.0;0.0;0.0;0.0;0.0
13700;3590.0;47.0;781.0;123.0;123.0;777.0;852.0;611.0;276.0;0.0;0.0;0.0;0.0
13800;3601.0;58.0;781.0;123.0;123.0;777.0;852.0;611.0;276.0;0.0;0.0;0.0;0.0
13900;3247.5;58.0;684.5;113.5;113.5;777.0;676.0;549.0;276.0;0.0;0.0;0.0;0.0
14000;3258.5;69.0;684.5;113.5;113.5;777.0;676.0;549.0;276.0;0.0;0.0;0.0;0.0
14100;2618.5;58.0;491.5;94.5;94.5;537.0;676.0;487.0;180.0;0.0;0.0;0.0;0.0
14200;2765.5;41.5;588.0;104.0;104.0;537.0;676.0;487.0;228.0;0.0;0.0;0.0;0.0
14300;2185.0;47.0;494.5;85.0;94.5;297.0;500.0;487.0;180.0;0.0;0.0;0.0;0.0
14400;1052.5;69.0;104.5;56.5;56.5;57.0;324.0;301.0;84.0;0.0;0.0;0.0;0.0
14500;2665.5;102.0;494.5;94.5;94.5;537.0;676.0;487.0;180.0;0.0;0.0;0.0;0.0
14600;3522.0;80.0;689.5;123.0;113.5;777.0;852.0;611.0;276.0;0.0;0.0;0.0;0.0
14700;2207.0;69.0;494.5;85.0;94.5;297.0;500.0;487.0;180.0;0.0;0.0;0.0;0.0
14800;1545.0;47.0;7.0;75.5;75.5;297.0;500.0;363.0;180.0;0.0;0.0;0.0;0.0
14900;1701.5;47.0;299.5;75.5;75.5;297.0;412.0;363.0;132.0;0.0;0.0;0.0;0.0
15000;2966.0;69.0;689.5;104.0;113.5;537.0;676.0;549.0;228.0;0.0;0.0;0.0;0.0
15100;3391.5;47.0;689.5;113.5;113.5;777.0;764.0;611.0;276.0;0.0;0.0;0.0;0.0
15200;3821.5;36.0;884.5;132.5;132.5;897.0;852.0;611.0;276.0;0.0;0.0;0.0;0.0
15300;4642.5;36.0;1079.5;151.5;151.5;1137.0;1028.0;735.0;324.0;0.0;0.0;0.0;0.0
15400;5896.5;47.0;1567.0;180.0;170.5;1497.0;1204.0;859.0;372.0;0.0;0.0;0.0;0.0
15500;5968.0;80.0;1372.0;180.0;180.0;1497.0;1380.0;859.0;420.0;0.0;0.0;0.0;0.0
15600;6874.0;58.0;1664.5;199.0;208.5;1737.0;1556.0;983.0;468.0;0.0;0.0;0.0;0.0
15700;6244.5;58.0;1469.5;189.5;189.5;1617.0;1380.0;921.0;420.0;0.0;0.0;0.0;0.0
15800;5821.0;69.0;1372.0;180.0;180.0;1497.0;1292.0;859.0;372.0;0.0;0.0;0.0;0.0
15900;4832.5;58.0;1079.5;151.5;151.5;1257.0;1028.0;735.0;372.0;0.0;0.0;0.0;0.0
16000;5103.0;36.0;1177.0;161.0;161.0;1257.0;1204.0;735.0;372.0;0.0;0.0;0.0;0.0
16100;4248.0;47.0;884.5;142.0;132.5;1017.0;1028.0;673.0;324.0;0.0;0.0;0.0;0.0
16200;4025.5;58.0;884.5;132.5;132.5;1017.0;852.0;673.0;276.0;0.0;0.0;0.0;0.0
16300;4079.0;102.0;884.5;142.0;132.5;1017.0;852.0;673.0;276.0;0.0;0.0;0.0;0.0
16400;3898.5;113.0;884.5;132.5;132.5;897.0;852.0;611.0;276.0;0.0;0.0;0.0;0.0
16500;3706.0;157.0;787.0;123.0;123.0;777.0;852.0;611.0;276.0;0.0;0.0;0.0;0.0
16600;4461.0;91.0;982.0;142.0;142.0;1017.0;1028.0;735.0;324.0;0.0;0.0;0.0;0.0
16700;5825.0;113.0;1372.0;180.0;180.0;1497.0;1204.0;859.0;420.0;0.0;0.0;0.0;0.0
16800;5682.5;135.0;1274.5;170.5;170.5;1497.0;1204.0;859.0;372.0;0.0;0.0;0.0;0.0
16900;6152.0;157.0;1469.5;180.0;189.5;1497.0;1380.0;859.0;420.0;0.0;0.0;0.0;0.0
17000;5693.5;146.0;1274.5;170.5;170.5;1497.0;1204.0;859.0;372.0;0.0;0.0;0.0;0.0
17100;5821.0;157.0;1372.0;180.0;180.0;1497.0;1204.0;859.0;372.0;0.0;0.0;0.0;0.0
17200;7113.5;168.0;1664.5;208.5;208.5;1857.0;1556.0;983.0;468.0;0.0;0.0;0.0;0.0
17300;8561.5;124.0;2054.5;246.5;246.5;2337.0;1820.0;1169.0;564.0;0.0;0.0;0.0;0.0
17400;7999.5;113.0;1859.5;227.5;227.5;2217.0;1732.0;1107.0;516.0;0.0;0.0;0.0;0.0
17500;7640.0;91.0;1859.5;218.0;227.5;1977.0;1644.0;1107.0;516.0;0.0;0.0;0.0;0.0
17600;7310.0;85.5;1957.0;132.5;161.0;1857.0;1556.0;1045.0;516.0;0.0;0.0;0.0;0.0
17700;7648.0;102.0;1859.5;216.0;226.5;1977.0;1644.0;1107.0;516.0;0.0;0.0;0.0;0.0
17800;7877.5;113.0;1859.5;226.5;226.5;2097.0;1732.0;1107.0;516.0;0.0;0.0;0.0;0.0
17900;8356.0;135.0;2054.5;237.0;247.5;2217.0;1732.0;1169.0;564.0;0.0;0.0;0.0;0.0
18000;8476.5;157.0;2054.5;247.5;247.5;2217.0;1820.0;1169.0;564.0;0.0;0.0;0.0;0.0
18100;7085.5;146.0;1664.5;205.5;205.5;1857.0;1556.0;983.0;468.0;0.0;0.0;0.0;0.0
18200;7921.5;157.0;1859.5;226.5;226.5;2097.0;1732.0;1107.0;516.0;0.0;0.0;0.0;0.0
18300;7375.0;135.0;1762.0;216.0;216.0;1977.0;1556.0;1045.0;468.0;0.0;0.0;0.0;0.0
18400;9359.5;157.0;2249.5;268.5;268.5;2577.0;1996.0;1231.0;612.0;0.0;0.0;0.0;0.0
18500;10829.5;113.0;2639.5;310.5;310.5;3057.0;2260.0;1479.0;660.0;0.0;0.0;0.0;0.0
18600;12192.5;91.0;3029.5;342.0;342.0;3417.0;2612.0;1603.0;756.0;0.0;0.0;0.0;0.0
18700;13228.5;113.0;3224.5;373.5;373.5;3777.0;2788.0;1727.0;852.0;0.0;0.0;0.0;0.0
18800;14732.5;91.0;3614.5;415.5;415.5;4257.0;3140.0;1851.0;948.0;0.0;0.0;0.0;0.0
18900;15302.0;102.0;3809.5;436.5;426.0;4377.0;3228.0;1975.0;948.0;0.0;0.0;0.0;0.0
19000;15214.5;113.0;3809.5;426.0;426.0;4377.0;3140.0;1975.0;948.0;0.0;0.0;0.0;0.0
19100;15987.5;124.0;4004.5;457.5;457.5;4617.0;3404.0;1975.0;948.0;0.0;0.0;0.0;0.0
19200;15542.0;113.0;3809.5;436.5;447.0;4497.0;3316.0;1975.0;948.0;0.0;0.0;0.0;0.0
19300;15381.5;171.0;3809.5;436.5;436.5;4377.0;3228.0;1975.0;948.0;0.0;0.0;0.0;0.0
19400;14571.5;186.0;3614.5;415.5;415.5;4137.0;3052.0;1851.0;900.0;0.0;0.0;0.0;0.0
19500;14069.5;156.0;3419.5;405.0;405.0;4017.0;2964.0;1851.0;852.0;0.0;0.0;0.0;0.0
19600;14905.5;119.0;3614.5;426.0;426.0;4257.0;3140.0;1975.0;948.0;0.0;0.0;0.0;0.0
19700;14777.5;136.0;3614.5;415.5;415.5;4257.0;3140.0;1851.0;948.0;0.0;0.0;0.0;0.0
19800;14833.0;119.0;3614.5;415.5;426.0;4257.0;3140.0;1913.0;948.0;0.0;0.0;0.0;0.0
19900;14704.0;110.5;3614.5;415.5;415.5;4257.0;3140.0;1851.0;900.0;0.0;0.0;0.0;0.0
20000;13268.5;153.0;3224.5;373.5;373.5;3777.0;2788.0;1727.0;852.0;0.0;0.0;0.0;0.0
20100;13209.0;93.5;3224.5;373.5;373.5;3777.0;2788.0;1727.0;852.0;0.0;0.0;0.0;0.0
20200;13254.5;136.0;3227.5;373.5;373.5;3777.0;2788.0;1727.0;852.0;0.0;0.0;0.0;0.0
20300;13599.0;153.0;3326.0;384.0;384.0;3897.0;2876.0;1727.0;852.0;0.0;0.0;0.0;0.0
20400;13691.0;136.0;3424.5;394.5;384.0;3897.0;2876.0;1727.0;852.0;0.0;0.0;0.0;0.0
20500;14071.5;153.0;3424.5;405.0;405.0;4017.0;2964.0;1851.0;852.0;0.0;0.0;0.0;0.0
20600;13806.5;153.0;3424.5;394.5;394.5;3897.0;2964.0;1727.0;852.0;0.0;0.0;0.0;0.0
20700;13680.5;136.0;3424.5;384.0;384.0;3897.0;2876.0;1727.0;852.0;0.0;0.0;0.0;0.0
20800;14027.0;119.0;3424.5;394.5;405.0;4017.0;2964.0;1851.0;852.0;0.0;0.0;0.0;0.0
20900;14782.5;51.0;3621.5;426.0;426.0;4257.0;3140.0;1913.0;948.0;0.0;0.0;0.0;0.0
21000;14366.5;43.0;3621.5;405.0;405.0;4137.0;3052.0;1851.0;852.0;0.0;0.0;0.0;0.0
21100;15454.0;16.0;3818.5;436.5;447.0;4497.0;3316.0;1975.0;948.0;0.0;0.0;0.0;0.0
21200;16110.5;-8.0;4015.5;457.5;457.5;4737.0;3404.0;2099.0;948.0;0.0;0.0;0.0;0.0
21300;15991.5;-7.0;4015.5;457.5;457.5;4617.0;3404.0;2099.0;948.0;0.0;0.0;0.0;0.0
21400;14701.5;-15.0;3424.5;426.0;426.0;4377.0;3140.0;1975.0;948.0;0.0;0.0;0.0;0.0
21500;14320.5;-104.0;3424.5;426.0;426.0;4257.0;3140.0;1851.0;900.0;0.0;0.0;0.0;0.0
21600;14645.0;-185.0;3720.0;426.0;426.0;4257.0;3140.0;1913.0;948.0;0.0;0.0;0.0;0.0
21700;13656.5;-241.0;3424.5;394.5;394.5;4017.0;2964.0;1851.0;852.0;0.0;0.0;0.0;0.0
21800;11685.5;-438.0;3030.5;352.5;352.5;3417.0;2612.0;1603.0;756.0;0.0;0.0;0.0;0.0
21900;10682.5;-593.0;2833.5;321.0;321.0;3177.0;2436.0;1479.0;708.0;0.0;0.0;0.0;0.0
22000;11340.5;-706.0;2833.5;352.5;352.5;3537.0;2612.0;1603.0;756.0;0.0;0.0;0.0;0.0
22100;11097.0;-819.0;2932.0;342.0;342.0;3417.0;2524.0;1603.0;756.0;0.0;0.0;0.0;0.0
22200;11870.5;-923.0;3227.5;363.0;363.0;3657.0;2700.0;1727.0;756.0;0.0;0.0;0.0;0.0
22300;10950.0;-1360.0;3326.0;342.0;342.0;3417.0;2524.0;1603.0;756.0;0.0;0.0;0.0;0.0
22400;10379.0;-1537.0;2932.0;342.0;342.0;3417.0;2524.0;1603.0;756.0;0.0;0.0;0.0;0.0
22500;10721.0;-1912.0;3129.0;363.0;363.0;3657.0;2700.0;1665.0;756.0;0.0;0.0;0.0;0.0
22600;12316.5;-2028.0;3621.5;415.5;415.5;4137.0;3052.0;1851.0;852.0;0.0;0.0;0.0;0.0
22700;13882.0;-1894.0;4015.5;457.5;447.0;4617.0;3316.0;1975.0;948.0;0.0;0.0;0.0;0.0
22800;14090.5;-2028.0;4015.5;457.5;457.5;4737.0;3404.0;2099.0;948.0;0.0;0.0;0.0;0.0
22900;12754.0;-2028.0;3720.0;426.0;426.0;4257.0;3140.0;1913.0;900.0;0.0;0.0;0.0;0.0
