timestamp,total,HYDROGEL_PACK,VELVETFRUIT_EXTRACT,VEV_4000,VEV_4500,VEV_5000,VEV_5100,VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1100,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1400,40.0,0.0,16.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1500,45.5,0.0,20.0,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1600,45.5,0.0,20.0,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700,62.0,0.0,32.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1800,56.5,0.0,28.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1900,67.5,0.0,36.0,31.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,89.5,0.0,52.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2100,100.5,0.0,60.0,40.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2200,89.5,0.0,52.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2300,95.0,0.0,56.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2400,111.5,0.0,68.0,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2500,133.5,0.0,84.0,49.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2600,133.5,0.0,84.0,49.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2700,128.0,0.0,80.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2800,122.5,0.0,76.0,46.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2900,100.5,0.0,60.0,40.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3000,115.5,0.0,72.0,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3100,121.5,0.0,72.0,49.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3200,123.0,0.0,72.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3300,124.5,0.0,72.0,52.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3400,127.5,0.0,72.0,55.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3500,10.5,-114.0,72.0,52.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3600,-5.0,-131.0,72.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3700,10.5,-114.0,72.0,52.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3800,29.0,-97.0,72.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3900,97.0,-29.0,72.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4000,60.0,-63.0,72.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4100,27.5,-97.0,72.0,52.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4200,-3.5,-131.0,72.0,55.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4300,47.5,-80.0,72.0,55.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4400,24.5,-97.0,72.0,49.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4500,75.5,-46.0,72.0,49.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4600,69.5,-46.0,72.0,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4700,62.5,-54.5,72.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4800,69.5,-46.0,72.0,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4900,24.5,-97.0,70.5,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000,40.0,-80.0,69.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5100,91.0,-29.0,69.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5200,176.0,56.0,69.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5300,193.0,73.0,67.5,52.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5400,176.0,56.0,69.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5500,160.5,39.0,61.5,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5600,-38.5,30.5,-129.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5700,-200.0,73.0,-333.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5800,-136.5,39.0,-231.0,55.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5900,-418.0,56.0,-531.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6000,-299.5,73.0,-431.0,58.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6100,-535.0,39.0,-631.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6200,-333.5,39.0,-431.0,58.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6300,-453.5,22.0,-531.0,55.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6400,94.5,73.0,-31.0,52.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
