timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;42.0;42.0;0.0
100;42.0;42.0;0.0
200;42.0;42.0;0.0
300;45.0;45.0;0.0
400;35.0;35.0;0.0
500;44.0;44.0;0.0
600;44.0;44.0;0.0
700;42.0;42.0;0.0
800;42.0;42.0;0.0
900;48.0;48.0;0.0
1000;49.0;49.0;0.0
1100;49.0;49.0;0.0
1200;46.0;46.0;0.0
1300;46.0;46.0;0.0
1400;46.0;46.0;0.0
1500;48.0;48.0;0.0
1600;48.0;48.0;0.0
1700;48.0;48.0;0.0
1800;55.0;55.0;0.0
1900;48.0;48.0;0.0
2000;48.0;48.0;0.0
2100;46.0;46.0;0.0
2200;48.0;48.0;0.0
2300;46.0;46.0;0.0
2400;46.0;46.0;0.0
2500;46.0;46.0;0.0
2600;46.0;46.0;0.0
2700;31.0;43.0;-12.0
2800;76.0;48.0;28.0
2900;116.0;48.0;68.0
3000;78.0;46.0;32.0
3100;80.0;44.0;36.0
3200;82.0;46.0;36.0
3300;91.0;43.0;48.0
3400;82.0;46.0;36.0
3500;82.0;46.0;36.0
3600;103.0;67.0;36.0
3700;115.0;67.0;48.0
3800;88.0;52.0;36.0
3900;103.0;67.0;36.0
4000;104.5;64.5;40.0
4100;89.0;57.0;32.0
4200;122.0;78.0;44.0
4300;151.5;95.5;56.0
4400;117.0;85.0;32.0
4500;139.5;95.5;44.0
4600;122.0;78.0;44.0
4700;117.0;85.0;32.0
4800;88.0;78.0;10.0
4900;119.0;85.0;34.0
5000;187.5;92.0;95.5
5100;180.5;85.0;95.5
5200;163.5;85.0;78.5
5300;163.5;85.0;78.5
5400;189.0;85.0;104.0
5500;156.5;78.0;78.5
5600;170.5;92.0;78.5
5700;71.0;85.0;-14.0
5800;64.0;78.0;-14.0
5900;181.0;85.0;96.0
6000;159.0;85.0;74.0
6100;213.5;95.5;118.0
6200;203.0;85.0;118.0
6300;203.0;85.0;118.0
6400;210.0;92.0;118.0
6500;177.0;92.0;85.0
6600;210.0;92.0;118.0
6700;210.0;92.0;118.0
6800;210.0;92.0;118.0
6900;217.0;99.0;118.0
7000;184.5;88.5;96.0
7100;232.0;92.0;140.0
7200;200.5;60.5;140.0
7300;221.5;81.5;140.0
7400;225.0;85.0;140.0
7500;258.0;85.0;173.0
7600;251.0;111.0;140.0
7700;240.0;100.0;140.0
7800;243.0;103.0;140.0
7900;207.0;100.0;107.0
8000;211.0;104.0;107.0
8100;209.0;102.0;107.0
8200;231.0;102.0;129.0
8300;228.0;99.0;129.0
8400;264.0;102.0;162.0
8500;264.0;102.0;162.0
8600;262.0;100.0;162.0
8700;263.0;101.0;162.0
8800;263.0;101.0;162.0
8900;231.0;102.0;129.0
9000;275.0;102.0;173.0
9100;329.0;112.0;217.0
9200;323.0;106.0;217.0
9300;292.0;108.0;184.0
9400;250.0;66.0;184.0
9500;310.0;126.0;184.0
9600;331.0;180.0;151.0
9700;346.0;162.0;184.0
9800;382.0;198.0;184.0
9900;260.0;198.0;62.0
10000;481.0;254.0;227.0
10100;496.0;254.0;242.0
10200;535.0;293.0;242.0
10300;509.0;267.0;242.0
10400;515.0;228.0;287.0
10500;509.0;267.0;242.0
10600;496.0;254.0;242.0
10700;535.0;293.0;242.0
10800;496.0;254.0;242.0
10900;522.0;280.0;242.0
11000;446.0;189.0;257.0
11100;537.0;280.0;257.0
11200;526.0;254.0;272.0
11300;526.0;254.0;272.0
11400;565.0;293.0;272.0
11500;526.0;254.0;272.0
11600;526.0;254.0;272.0
11700;610.0;293.0;317.0
11800;526.0;254.0;272.0
11900;571.0;254.0;317.0
12000;541.0;254.0;287.0
12100;591.0;289.0;302.0
12200;637.5;335.5;302.0
12300;591.0;289.0;302.0
12400;653.0;351.0;302.0
12500;653.0;351.0;302.0
12600;454.0;320.0;134.0
12700;586.0;320.0;266.0
12800;601.5;335.5;266.0
12900;635.5;320.0;315.5
13000;652.0;320.0;332.0
13100;668.5;320.0;348.5
13200;699.5;351.0;348.5
13300;699.5;351.0;348.5
13400;668.5;320.0;348.5
13500;619.0;320.0;299.0
13600;668.5;320.0;348.5
13700;668.5;320.0;348.5
13800;668.5;320.0;348.5
13900;787.0;273.5;513.5
14000;755.5;341.0;414.5
14100;722.5;341.0;381.5
14200;694.5;313.0;381.5
14300;652.5;271.0;381.5
14400;568.0;313.0;255.0
14500;660.0;229.0;431.0
14600;744.0;313.0;431.0
14700;528.0;229.0;299.0
14800;678.0;313.0;365.0
14900;584.0;285.0;299.0
15000;616.0;229.0;387.0
15100;858.0;383.0;475.0
15200;792.0;383.0;409.0
15300;792.0;383.0;409.0
15400;792.0;383.0;409.0
15500;834.0;425.0;409.0
15600;868.0;393.0;475.0
15700;786.0;377.0;409.0
15800;794.0;385.0;409.0
15900;794.0;385.0;409.0
16000;816.0;385.0;431.0
16100;866.0;413.0;453.0
16200;846.0;393.0;453.0
16300;830.0;377.0;453.0
16400;838.0;385.0;453.0
16500;892.0;373.0;519.0
16600;830.0;377.0;453.0
16700;764.0;377.0;387.0
16800;830.0;377.0;453.0
16900;896.0;377.0;519.0
17000;904.0;385.0;519.0
17100;882.0;385.0;497.0
17200;816.0;385.0;431.0
17300;816.0;385.0;431.0
17400;968.0;393.0;575.0
17500;889.5;385.0;504.5
17600;889.5;385.0;504.5
17700;960.0;385.0;575.0
17800;827.0;393.0;434.0
17900;889.5;385.0;504.5
18000;983.5;385.0;598.5
18100;1019.0;397.0;622.0
18200;936.5;385.0;551.5
18300;928.5;377.0;551.5
18400;944.5;393.0;551.5
18500;986.5;435.0;551.5
18600;1057.0;435.0;622.0
18700;1050.0;428.0;622.0
18800;986.5;435.0;551.5
18900;909.0;428.0;481.0
19000;1012.0;437.0;575.0
19100;1033.5;435.0;598.5
19200;1031.5;433.0;598.5
19300;1031.5;433.0;598.5
19400;1031.5;433.0;598.5
19500;961.0;433.0;528.0
19600;961.0;433.0;528.0
19700;958.0;430.0;528.0
19800;1010.5;412.0;598.5
19900;900.0;445.0;455.0
20000;958.0;445.0;513.0
20100;1161.0;445.0;716.0
20200;1167.0;451.0;716.0
20300;1152.0;436.0;716.0
20400;1068.0;439.0;629.0
20500;1068.0;439.0;629.0
20600;1068.0;439.0;629.0
20700;1062.0;433.0;629.0
20800;1155.0;439.0;716.0
20900;1068.0;439.0;629.0
21000;1103.0;445.0;658.0
21100;1097.0;439.0;658.0
21200;1108.0;421.0;687.0
21300;1132.0;445.0;687.0
21400;1132.0;445.0;687.0
21500;1153.0;466.0;687.0
21600;1132.0;445.0;687.0
21700;1132.0;445.0;687.0
21800;1219.0;445.0;774.0
21900;1219.0;445.0;774.0
22000;1161.0;445.0;716.0
22100;1190.0;445.0;745.0
22200;1187.0;442.0;745.0
22300;1187.0;442.0;745.0
22400;1190.0;445.0;745.0
22500;1190.0;445.0;745.0
22600;1196.0;451.0;745.0
22700;1211.0;466.0;745.0
22800;1184.0;439.0;745.0
22900;1190.0;445.0;745.0
23000;1243.0;445.0;798.0
23100;929.0;445.0;484.0
23200;1262.0;415.0;847.0
23300;1286.0;439.0;847.0
23400;1283.0;436.0;847.0
23500;1292.0;445.0;847.0
23600;1283.0;436.0;847.0
23700;1286.0;439.0;847.0
23800;1286.0;439.0;847.0
23900;1416.0;470.0;946.0
24000;1464.0;485.0;979.0
24100;1299.0;485.0;814.0
24200;1403.0;490.0;913.0
24300;1440.0;527.0;913.0
24400;1315.0;402.0;913.0
24500;1464.5;551.5;913.0
24600;1451.0;538.0;913.0
24700;1438.0;525.0;913.0
24800;1378.0;564.0;814.0
24900;1477.0;564.0;913.0
25000;1536.0;590.0;946.0
25100;1543.0;564.0;979.0
25200;1642.0;564.0;1078.0
25300;1543.0;564.0;979.0
25400;1543.0;564.0;979.0
25500;1200.0;590.0;610.0
25600;1704.0;590.0;1114.0
25700;1570.0;564.0;1006.0
25800;1475.0;577.0;898.0
25900;1462.0;564.0;898.0
26000;1524.0;590.0;934.0
26100;1668.0;590.0;1078.0
26200;1642.0;564.0;1078.0
26300;1750.0;564.0;1186.0
26400;1521.0;551.0;970.0
26500;2028.0;590.0;1438.0
26600;1776.0;590.0;1186.0
26700;1668.0;590.0;1078.0
26800;1633.0;447.0;1186.0
26900;1750.0;564.0;1186.0
27000;1786.0;564.0;1222.0
27100;1714.0;564.0;1150.0
27200;1714.0;564.0;1150.0
27300;1822.0;564.0;1258.0
27400;1714.0;564.0;1150.0
27500;1714.0;564.0;1150.0
27600;1714.0;564.0;1150.0
27700;1714.0;564.0;1150.0
27800;1714.0;564.0;1150.0
27900;1796.0;538.0;1258.0
28000;1734.0;656.0;1078.0
28100;1768.0;546.0;1222.0
28200;1790.0;568.0;1222.0
28300;1790.0;568.0;1222.0
28400;1649.0;535.0;1114.0
28500;1757.0;535.0;1222.0
28600;1757.0;535.0;1222.0
28700;1956.0;590.0;1366.0
28800;1790.0;568.0;1222.0
28900;1790.0;568.0;1222.0
29000;1859.0;601.0;1258.0
29100;2003.0;601.0;1402.0
29200;1970.0;568.0;1402.0
29300;1862.0;568.0;1294.0
29400;1862.0;568.0;1294.0
29500;1862.0;568.0;1294.0
29600;1884.0;590.0;1294.0
29700;1840.0;546.0;1294.0
29800;1840.0;546.0;1294.0
29900;1862.0;568.0;1294.0
30000;1649.0;535.0;1114.0
30100;1922.0;568.0;1354.0
30200;1922.0;568.0;1354.0
30300;1955.0;601.0;1354.0
30400;1955.0;601.0;1354.0
30500;1889.0;535.0;1354.0
30600;1922.0;568.0;1354.0
30700;1944.0;590.0;1354.0
30800;1922.0;568.0;1354.0
30900;1802.0;568.0;1234.0
31000;1962.0;568.0;1394.0
31100;1980.0;546.0;1434.0
31200;1849.0;535.0;1314.0
31300;2002.0;568.0;1434.0
31400;2002.0;568.0;1434.0
31500;2002.0;568.0;1434.0
31600;2002.0;568.0;1434.0
31700;1882.0;568.0;1314.0
31800;2122.0;568.0;1554.0
31900;1969.0;535.0;1434.0
32000;1889.0;535.0;1354.0
32100;2082.0;568.0;1514.0
32200;2104.0;590.0;1514.0
32300;2093.0;579.0;1514.0
32400;2093.0;579.0;1514.0
32500;2482.0;568.0;1914.0
32600;2082.0;568.0;1514.0
32700;1940.0;546.0;1394.0
32800;1958.0;444.0;1514.0
32900;2088.0;574.0;1514.0
33000;2128.0;574.0;1554.0
33100;2288.0;574.0;1714.0
33200;2168.0;574.0;1594.0
33300;2528.0;574.0;1954.0
33400;2194.0;600.0;1594.0
33500;2100.0;626.0;1474.0
33600;2060.0;626.0;1434.0
33700;2168.0;574.0;1594.0
33800;2181.0;587.0;1594.0
33900;2194.0;600.0;1594.0
34000;2309.0;675.0;1634.0
34100;2368.0;694.0;1674.0
34200;2330.0;656.0;1674.0
34300;2330.0;656.0;1674.0
34400;2330.0;656.0;1674.0
34500;2330.0;656.0;1674.0
34600;2330.0;656.0;1674.0
34700;2330.0;656.0;1674.0
34800;2210.0;656.0;1554.0
34900;2330.0;656.0;1674.0
35000;2330.0;656.0;1674.0
35100;2391.0;637.0;1754.0
35200;2290.0;656.0;1634.0
35300;2271.0;637.0;1634.0
35400;2400.5;646.5;1754.0
35500;2410.0;656.0;1754.0
35600;2410.0;656.0;1754.0
35700;2930.0;656.0;2274.0
35800;2930.0;656.0;2274.0
35900;2530.0;656.0;1874.0
36000;2450.0;656.0;1794.0
36100;2831.0;637.0;2194.0
36200;2490.0;656.0;1834.0
36300;2490.0;656.0;1834.0
36400;2490.0;656.0;1834.0
36500;2514.0;680.0;1834.0
36600;2498.0;664.0;1834.0
36700;2498.0;664.0;1834.0
36800;2498.0;664.0;1834.0
36900;2498.0;664.0;1834.0
37000;2538.0;664.0;1874.0
37100;2578.0;664.0;1914.0
37200;2554.0;640.0;1914.0
37300;2698.0;664.0;2034.0
37400;2562.0;648.0;1914.0
37500;2578.0;664.0;1914.0
37600;2442.0;648.0;1794.0
37700;2714.0;680.0;2034.0
37800;2650.0;736.0;1914.0
37900;2626.0;712.0;1914.0
38000;2690.0;736.0;1954.0
38100;2530.0;736.0;1794.0
38200;2730.0;736.0;1994.0
38300;2730.0;736.0;1994.0
38400;2297.5;743.5;1554.0
38500;2751.0;757.0;1994.0
38600;2737.5;743.5;1994.0
38700;2622.0;748.0;1874.0
38800;2626.5;752.5;1874.0
38900;2626.5;752.5;1874.0
39000;2635.5;761.5;1874.0
39100;2835.5;761.5;2074.0
39200;2840.0;766.0;2074.0
39300;2831.0;757.0;2074.0
39400;2831.0;757.0;2074.0
39500;2831.0;757.0;2074.0
39600;2831.0;757.0;2074.0
39700;2822.0;748.0;2074.0
39800;2849.0;775.0;2074.0
39900;2889.0;815.0;2074.0
40000;2925.0;811.0;2114.0
40100;2846.0;812.0;2034.0
40200;2969.0;815.0;2154.0
40300;2849.0;815.0;2034.0
40400;3087.0;813.0;2274.0
40500;3087.0;813.0;2274.0
40600;2967.0;813.0;2154.0
40700;2967.0;813.0;2154.0
40800;2967.0;813.0;2154.0
40900;2966.0;812.0;2154.0
41000;3007.0;813.0;2194.0
41100;3044.0;810.0;2234.0
41200;3163.0;809.0;2354.0
41300;3043.0;809.0;2234.0
41400;3167.0;813.0;2354.0
41500;3202.0;848.0;2354.0
41600;3085.0;851.0;2234.0
41700;3605.0;851.0;2754.0
41800;3191.5;837.5;2354.0
41900;3082.0;848.0;2234.0
42000;2922.0;848.0;2074.0
42100;3159.0;845.0;2314.0
42200;3048.0;854.0;2194.0
42300;3042.0;848.0;2194.0
42400;3166.5;852.5;2314.0
42500;3148.5;834.5;2314.0
42600;3165.0;851.0;2314.0
42700;3159.0;845.0;2314.0
42800;3156.0;842.0;2314.0
42900;3277.5;843.5;2434.0
43000;2774.0;860.0;1914.0
43100;3242.0;848.0;2394.0
43200;3237.5;843.5;2394.0
43300;3242.0;848.0;2394.0
43400;3242.0;848.0;2394.0
43500;3242.0;848.0;2394.0
43600;3239.0;845.0;2394.0
43700;3239.0;845.0;2394.0
43800;3119.0;845.0;2274.0
43900;3362.0;848.0;2514.0
44000;3282.0;848.0;2434.0
44100;3322.0;848.0;2474.0
44200;3442.0;848.0;2594.0
44300;3322.0;848.0;2474.0
44400;3322.0;848.0;2474.0
44500;3203.5;849.5;2354.0
44600;3322.0;848.0;2474.0
44700;2802.0;848.0;1954.0
44800;3322.0;848.0;2474.0
44900;3206.5;852.5;2354.0
45000;3486.5;852.5;2634.0
45100;3485.0;851.0;2634.0
45200;3482.0;848.0;2634.0
45300;3417.0;863.0;2554.0
45400;3421.5;867.5;2554.0
45500;3417.0;863.0;2554.0
45600;3412.5;858.5;2554.0
45700;3417.0;863.0;2554.0
45800;3414.0;860.0;2554.0
45900;3297.0;863.0;2434.0
46000;3458.5;864.5;2594.0
46100;3371.0;857.0;2514.0
46200;3497.0;863.0;2634.0
46300;3486.5;852.5;2634.0
46400;3617.0;863.0;2754.0
46500;3510.5;876.5;2634.0
46600;3494.0;860.0;2634.0
46700;3494.0;860.0;2634.0
46800;3494.0;860.0;2634.0
46900;3494.0;860.0;2634.0
47000;3525.0;851.0;2674.0
47100;3704.5;870.5;2834.0
47200;3574.0;860.0;2714.0
47300;3581.5;867.5;2714.0
47400;3454.0;860.0;2594.0
47500;3691.0;857.0;2834.0
47600;3691.0;857.0;2834.0
47700;3691.0;857.0;2834.0
47800;3571.0;857.0;2714.0
47900;3575.5;861.5;2714.0
48000;3611.0;857.0;2754.0
48100;4011.0;857.0;3154.0
48200;3648.0;854.0;2794.0
48300;3651.0;857.0;2794.0
48400;3652.5;858.5;2794.0
48500;3651.0;857.0;2794.0
48600;3651.0;857.0;2794.0
48700;3535.5;861.5;2674.0
48800;3531.0;857.0;2674.0
48900;3654.0;860.0;2794.0
49000;3694.0;860.0;2834.0
49100;3734.0;860.0;2874.0
49200;3734.0;860.0;2874.0
49300;3851.0;857.0;2994.0
49400;3624.5;870.5;2754.0
49500;3734.0;860.0;2874.0
49600;3728.0;854.0;2874.0
49700;3731.0;857.0;2874.0
49800;3734.0;860.0;2874.0
49900;3738.5;864.5;2874.0
50000;3774.0;860.0;2914.0
50100;3934.0;860.0;3074.0
50200;3937.0;863.0;3074.0
50300;3695.5;861.5;2834.0
50400;3934.0;860.0;3074.0
50500;3811.0;857.0;2954.0
50600;3811.0;857.0;2954.0
50700;3811.0;857.0;2954.0
50800;3811.0;857.0;2954.0
50900;3858.0;904.0;2954.0
51000;3874.0;880.0;2994.0
51100;3926.0;892.0;3034.0
51200;3814.0;900.0;2914.0
51300;3814.0;900.0;2914.0
51400;3838.0;924.0;2914.0
51500;3942.0;908.0;3034.0
51600;3934.0;900.0;3034.0
51700;4046.0;892.0;3154.0
51800;3942.0;908.0;3034.0
51900;3802.0;888.0;2914.0
52000;3814.0;900.0;2914.0
52100;4022.0;908.0;3114.0
52200;4014.0;900.0;3114.0
52300;4126.0;892.0;3234.0
52400;4006.0;892.0;3114.0
52500;4006.0;892.0;3114.0
52600;4406.0;892.0;3514.0
52700;4006.0;892.0;3114.0
52800;3998.0;884.0;3114.0
52900;3998.0;884.0;3114.0
53000;3918.0;884.0;3034.0
53100;4086.0;892.0;3194.0
53200;4438.0;884.0;3554.0
53300;3966.0;892.0;3074.0
53400;4206.0;892.0;3314.0
53500;4074.0;880.0;3194.0
53600;3646.0;892.0;2754.0
53700;4094.0;900.0;3194.0
53800;4022.0;828.0;3194.0
53900;4214.0;900.0;3314.0
54000;4254.0;900.0;3354.0
54100;4230.0;876.0;3354.0
54200;4294.0;900.0;3394.0
54300;4038.0;884.0;3154.0
54400;4158.0;884.0;3274.0
54500;4158.0;884.0;3274.0
54600;4200.0;926.0;3274.0
54700;4233.0;959.0;3274.0
54800;4080.0;926.0;3154.0
54900;4200.0;926.0;3274.0
55000;4240.0;926.0;3314.0
55100;4313.0;959.0;3354.0
55200;4269.0;915.0;3354.0
55300;4280.0;926.0;3354.0
55400;4127.0;893.0;3234.0
55500;4280.0;926.0;3354.0
55600;4280.0;926.0;3354.0
55700;4440.0;926.0;3514.0
55800;4280.0;926.0;3354.0
55900;4247.0;893.0;3354.0
56000;4320.0;926.0;3394.0
56100;4240.0;926.0;3314.0
56200;4360.0;926.0;3434.0
56300;4480.0;926.0;3554.0
56400;4269.5;835.5;3434.0
56500;4237.0;803.0;3434.0
56600;4353.0;919.0;3434.0
56700;4382.0;948.0;3434.0
56800;4353.0;919.0;3434.0
56900;4262.0;948.0;3314.0
57000;4422.0;948.0;3474.0
57100;4393.0;919.0;3474.0
57200;4462.0;948.0;3514.0
57300;4360.5;846.5;3514.0
57400;4476.5;962.5;3514.0
57500;4593.0;919.0;3674.0
57600;4564.0;890.0;3674.0
57700;4375.0;861.0;3514.0
57800;4255.0;861.0;3394.0
57900;4255.0;861.0;3394.0
58000;4444.0;890.0;3554.0
58100;4484.0;890.0;3594.0
58200;4527.5;933.5;3594.0
58300;4484.0;890.0;3594.0
58400;4505.0;911.0;3594.0
58500;4505.0;911.0;3594.0
58600;4625.0;911.0;3714.0
58700;4505.0;911.0;3594.0
58800;4505.0;911.0;3594.0
58900;4505.0;911.0;3594.0
59000;4505.0;911.0;3594.0
59100;4601.0;927.0;3674.0
59200;4697.0;1023.0;3674.0
59300;4537.0;863.0;3674.0
59400;4553.0;879.0;3674.0
59500;4567.0;893.0;3674.0
59600;4552.0;878.0;3674.0
59700;4302.0;788.0;3514.0
59800;4511.5;837.5;3674.0
59900;4511.5;837.5;3674.0
60000;4634.0;920.0;3714.0
60100;4674.0;920.0;3754.0
60200;4554.0;920.0;3634.0
60300;4407.0;653.0;3754.0
60400;4701.0;947.0;3754.0
60500;4701.0;947.0;3754.0
60600;4701.0;947.0;3754.0
60700;4743.0;989.0;3754.0
60800;4758.0;884.0;3874.0
60900;4581.0;947.0;3634.0
61000;4825.0;1031.0;3794.0
61100;4865.0;1031.0;3834.0
61200;4865.0;1031.0;3834.0
61300;4907.0;1073.0;3834.0
61400;4907.0;1073.0;3834.0
61500;5027.0;1073.0;3954.0
61600;4865.0;1031.0;3834.0
61700;4865.0;1031.0;3834.0
61800;4865.0;1031.0;3834.0
61900;5025.0;1031.0;3994.0
62000;4827.0;1073.0;3754.0
62100;4987.0;1073.0;3914.0
62200;5005.0;1091.0;3914.0
62300;5107.0;1073.0;4034.0
62400;4987.0;1073.0;3914.0
62500;4951.0;1037.0;3914.0
62600;5023.0;1109.0;3914.0
62700;4987.0;1073.0;3914.0
62800;4867.0;1073.0;3794.0
62900;4933.0;1019.0;3914.0
63000;4973.0;1019.0;3954.0
63100;5031.0;1037.0;3994.0
63200;5085.0;1091.0;3994.0
63300;4911.0;1037.0;3874.0
63400;4995.0;1001.0;3994.0
63500;4875.0;1001.0;3874.0
63600;5151.0;1037.0;4114.0
63700;5081.0;1087.0;3994.0
63800;5081.0;1087.0;3994.0
63900;5043.0;1049.0;3994.0
64000;5140.0;1106.0;4034.0
64100;5083.0;1049.0;4034.0
64200;5123.0;1049.0;4074.0
64300;4683.0;1049.0;3634.0
64400;5243.0;1049.0;4194.0
64500;5003.0;1049.0;3954.0
64600;5180.0;1106.0;4074.0
64700;5123.0;1049.0;4074.0
64800;5161.0;1087.0;4074.0
64900;5151.0;1077.0;4074.0
65000;5311.0;1077.0;4234.0
65100;5197.0;1043.0;4154.0
65200;5197.0;1043.0;4154.0
65300;5197.0;1043.0;4154.0
65400;5251.0;1097.0;4154.0
65500;5069.0;915.0;4154.0
65600;5311.0;1157.0;4154.0
65700;5267.0;1113.0;4154.0
65800;5311.0;1157.0;4154.0
65900;5311.0;1157.0;4154.0
66000;5471.0;1157.0;4314.0
66100;5511.0;1157.0;4354.0
66200;5555.0;1201.0;4354.0
66300;5391.0;1157.0;4234.0
66400;5391.0;1157.0;4234.0
66500;5391.0;1157.0;4234.0
66600;5391.0;1157.0;4234.0
66700;5325.0;1091.0;4234.0
66800;5325.0;1091.0;4234.0
66900;5391.0;1157.0;4234.0
67000;5475.0;1201.0;4274.0
67100;5351.0;1157.0;4194.0
67200;5471.0;1157.0;4314.0
67300;5427.0;1113.0;4314.0
67400;5591.0;1157.0;4434.0
67500;5537.0;1223.0;4314.0
67600;5871.0;1157.0;4714.0
67700;5427.0;1113.0;4314.0
67800;5471.0;1157.0;4314.0
67900;5471.0;1157.0;4314.0
68000;5492.0;1178.0;4314.0
68100;5692.0;1178.0;4514.0
68200;5572.0;1178.0;4394.0
68300;5551.5;1157.5;4394.0
68400;5572.0;1178.0;4394.0
68500;5692.0;1178.0;4514.0
68600;5572.0;1178.0;4394.0
68700;5692.0;1178.0;4514.0
68800;5408.0;1014.0;4394.0
68900;5411.0;1137.0;4274.0
69000;5612.0;1178.0;4434.0
69100;5532.0;1178.0;4354.0
69200;5652.0;1178.0;4474.0
69300;5611.0;1137.0;4474.0
69400;5693.0;1219.0;4474.0
69500;5652.0;1178.0;4474.0
69600;5631.5;1157.5;4474.0
69700;5631.5;1157.5;4474.0
69800;5713.5;1239.5;4474.0
69900;5772.0;1178.0;4594.0
70000;5272.5;1198.5;4074.0
70100;5732.0;1178.0;4554.0
70200;5632.5;1198.5;4434.0
70300;5673.5;1239.5;4434.0
70400;6132.0;1178.0;4954.0
70500;5852.0;1178.0;4674.0
70600;5793.5;1239.5;4554.0
70700;5773.0;1219.0;4554.0
70800;5732.0;1178.0;4554.0
70900;5571.0;1137.0;4434.0
71000;5653.0;1219.0;4434.0
71100;5591.5;1157.5;4434.0
71200;5768.0;1014.0;4754.0
71300;5993.5;1239.5;4754.0
71400;5853.0;1219.0;4634.0
71500;5372.0;1178.0;4194.0
71600;5932.0;1178.0;4754.0
71700;5973.0;1219.0;4754.0
71800;6014.0;1260.0;4754.0
71900;5894.0;1260.0;4634.0
72000;5934.0;1260.0;4674.0
72100;5954.5;1280.5;4674.0
72200;5854.0;1260.0;4594.0
72300;5769.0;1055.0;4714.0
72400;6035.5;1321.5;4714.0
72500;6015.0;1301.0;4714.0
72600;6056.0;1342.0;4714.0
72700;6056.0;1342.0;4714.0
72800;5789.5;1075.5;4714.0
72900;6015.0;1301.0;4714.0
73000;5935.0;1301.0;4634.0
73100;6136.0;1342.0;4794.0
73200;5655.0;1301.0;4354.0
73300;6095.0;1301.0;4794.0
73400;6238.5;1444.5;4794.0
73500;6136.0;1342.0;4794.0
73600;6136.0;1342.0;4794.0
73700;6177.0;1383.0;4794.0
73800;6177.0;1383.0;4794.0
73900;6033.5;1239.5;4794.0
74000;5991.5;1157.5;4834.0
74100;6216.0;1342.0;4874.0
74200;6377.0;1383.0;4994.0
74300;6257.0;1383.0;4874.0
74400;6137.0;1383.0;4754.0
74500;6298.0;1424.0;4874.0
74600;6257.0;1383.0;4874.0
74700;6257.0;1383.0;4874.0
74800;6257.0;1383.0;4874.0
74900;6137.0;1383.0;4754.0
75000;6417.0;1383.0;5034.0
75100;6217.0;1383.0;4834.0
75200;6337.0;1383.0;4954.0
75300;6337.0;1383.0;4954.0
75400;6278.5;1444.5;4834.0
75500;6296.0;1342.0;4954.0
75600;6217.0;1383.0;4834.0
75700;6296.0;1342.0;4954.0
75800;6296.0;1342.0;4954.0
75900;6296.0;1342.0;4954.0
76000;6496.0;1342.0;5154.0
76100;6256.0;1342.0;4914.0
76200;6256.0;1342.0;4914.0
76300;6418.0;1384.0;5034.0
76400;6608.5;1454.5;5154.0
76500;6673.5;1639.5;5034.0
76600;6537.0;1503.0;5034.0
76700;6917.5;1483.5;5434.0
76800;6615.0;1581.0;5034.0
76900;6615.0;1581.0;5034.0
77000;6697.0;1503.0;5194.0
77100;6737.0;1503.0;5234.0
77200;6636.5;1522.5;5114.0
77300;6656.0;1542.0;5114.0
77400;6656.0;1542.0;5114.0
77500;6656.0;1542.0;5114.0
77600;6656.0;1542.0;5114.0
77700;6776.0;1542.0;5234.0
77800;6441.5;1327.5;5114.0
77900;6656.0;1542.0;5114.0
78000;6777.0;1503.0;5274.0
78100;6638.5;1444.5;5194.0
78200;6538.0;1464.0;5074.0
78300;6697.0;1503.0;5194.0
78400;6697.0;1503.0;5194.0
78500;6638.5;1444.5;5194.0
78600;6697.0;1503.0;5194.0
78700;6658.0;1464.0;5194.0
78800;6658.0;1464.0;5194.0
78900;6638.5;1444.5;5194.0
79000;6854.0;1620.0;5234.0
79100;6777.0;1503.0;5274.0
79200;6777.0;1503.0;5274.0
79300;6637.5;1483.5;5154.0
79400;6777.0;1503.0;5274.0
79500;6738.0;1464.0;5274.0
79600;6718.5;1444.5;5274.0
79700;6777.0;1503.0;5274.0
79800;6777.0;1503.0;5274.0
79900;6897.0;1503.0;5394.0
80000;6817.0;1503.0;5314.0
80100;6977.0;1503.0;5474.0
80200;6798.5;1444.5;5354.0
80300;6737.0;1503.0;5234.0
80400;6503.0;1269.0;5234.0
80500;6818.0;1464.0;5354.0
80600;6915.5;1561.5;5354.0
80700;6857.0;1503.0;5354.0
80800;6837.5;1483.5;5354.0
80900;6698.0;1464.0;5234.0
81000;6858.0;1464.0;5394.0
81100;6839.5;1405.5;5434.0
81200;6797.5;1483.5;5314.0
81300;6739.0;1425.0;5314.0
81400;6739.0;1425.0;5314.0
81500;6859.0;1425.0;5434.0
81600;6800.5;1366.5;5434.0
81700;6781.0;1347.0;5434.0
81800;6820.0;1386.0;5434.0
81900;6820.0;1386.0;5434.0
82000;6860.0;1386.0;5474.0
82100;6860.0;1386.0;5474.0
82200;6822.0;1308.0;5514.0
82300;6900.0;1386.0;5514.0
82400;6961.5;1327.5;5634.0
82500;6841.5;1327.5;5514.0
82600;6900.0;1386.0;5514.0
82700;6861.0;1347.0;5514.0
82800;6861.0;1347.0;5514.0
82900;6822.0;1308.0;5514.0
83000;6901.0;1347.0;5554.0
83100;6941.0;1347.0;5594.0
83200;6863.0;1269.0;5594.0
83300;6863.0;1269.0;5594.0
