timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;-25.5;42.0;-67.5
100;-85.0;42.0;-127.0
200;-34.0;42.0;-76.0
300;-56.5;45.0;-101.5
400;-66.5;35.0;-101.5
500;-57.5;44.0;-101.5
600;-32.0;44.0;-76.0
700;-59.5;42.0;-101.5
800;-59.5;42.0;-101.5
900;-79.0;48.0;-127.0
1000;-52.5;49.0;-101.5
1100;-35.5;49.0;-84.5
1200;-38.5;46.0;-84.5
1300;-38.5;46.0;-84.5
1400;-38.5;46.0;-84.5
1500;-36.5;48.0;-84.5
1600;-36.5;48.0;-84.5
1700;-11.0;48.0;-59.0
1800;-4.0;55.0;-59.0
1900;-36.5;48.0;-84.5
2000;-28.0;48.0;-76.0
2100;-21.5;46.0;-67.5
2200;-19.5;48.0;-67.5
2300;4.0;46.0;-42.0
2400;-21.5;46.0;-67.5
2500;-21.5;46.0;-67.5
2600;-21.5;46.0;-67.5
2700;-121.5;43.0;-164.5
2800;8.5;48.0;-39.5
2900;133.5;48.0;85.5
3000;19.0;46.0;-27.0
3100;29.5;44.0;-14.5
3200;31.5;46.0;-14.5
3300;66.0;43.0;23.0
3400;31.5;46.0;-14.5
3500;31.5;46.0;-14.5
3600;52.5;67.0;-14.5
3700;90.0;67.0;23.0
3800;37.5;52.0;-14.5
3900;52.5;67.0;-14.5
4000;62.5;64.5;-2.0
4100;30.0;57.0;-27.0
4200;88.5;78.0;10.5
4300;143.5;95.5;48.0
4400;58.0;85.0;-27.0
4500;106.0;95.5;10.5
4600;88.5;78.0;10.5
4700;58.0;85.0;-27.0
4800;20.5;78.0;-57.5
4900;85.5;85.0;0.5
5000;188.0;92.0;96.0
5100;181.0;85.0;96.0
5200;147.0;85.0;62.0
5300;147.0;85.0;62.0
5400;198.0;85.0;113.0
5500;140.0;78.0;62.0
5600;154.0;92.0;62.0
5700;-30.5;85.0;-115.5
5800;-37.5;78.0;-115.5
5900;164.5;85.0;79.5
6000;125.5;85.0;40.5
6100;214.0;95.5;118.5
6200;203.5;85.0;118.5
6300;203.5;85.0;118.5
6400;210.5;92.0;118.5
6500;152.0;92.0;60.0
6600;210.5;92.0;118.5
6700;210.5;92.0;118.5
6800;210.5;92.0;118.5
6900;217.5;99.0;118.5
7000;168.0;88.5;79.5
7100;249.5;92.0;157.5
7200;218.0;60.5;157.5
7300;239.0;81.5;157.5
7400;242.5;85.0;157.5
7500;301.0;85.0;216.0
7600;268.5;111.0;157.5
7700;257.5;100.0;157.5
7800;260.5;103.0;157.5
7900;199.0;100.0;99.0
8000;203.0;104.0;99.0
8100;201.0;102.0;99.0
8200;240.0;102.0;138.0
8300;237.0;99.0;138.0
8400;298.5;102.0;196.5
8500;298.5;102.0;196.5
8600;296.5;100.0;196.5
8700;297.5;101.0;196.5
8800;297.5;101.0;196.5
8900;240.0;102.0;138.0
9000;318.0;102.0;216.0
9100;406.0;112.0;294.0
9200;400.0;106.0;294.0
9300;343.5;108.0;235.5
9400;301.5;66.0;235.5
9500;361.5;126.0;235.5
9600;357.0;180.0;177.0
9700;397.5;162.0;235.5
9800;433.5;198.0;235.5
9900;226.5;198.0;28.5
10000;541.0;254.0;287.0
10100;564.5;254.0;310.5
10200;603.5;293.0;310.5
10300;577.5;267.0;310.5
10400;609.0;228.0;381.0
10500;577.5;267.0;310.5
10600;564.5;254.0;310.5
10700;603.5;293.0;310.5
10800;564.5;254.0;310.5
10900;590.5;280.0;310.5
11000;523.0;189.0;334.0
11100;614.0;280.0;334.0
11200;611.5;254.0;357.5
11300;611.5;254.0;357.5
11400;650.5;293.0;357.5
11500;611.5;254.0;357.5
11600;611.5;254.0;357.5
11700;721.0;293.0;428.0
11800;611.5;254.0;357.5
11900;682.0;254.0;428.0
12000;635.0;254.0;381.0
12100;693.5;289.0;404.5
12200;740.0;335.5;404.5
12300;693.5;289.0;404.5
12400;755.5;351.0;404.5
12500;755.5;351.0;404.5
12600;463.0;320.0;143.0
12700;663.0;320.0;343.0
12800;678.5;335.5;343.0
12900;738.0;320.0;418.0
13000;763.0;320.0;443.0
13100;788.0;320.0;468.0
13200;819.0;351.0;468.0
13300;819.0;351.0;468.0
13400;788.0;320.0;468.0
13500;713.0;320.0;393.0
13600;788.0;320.0;468.0
13700;788.0;320.0;468.0
13800;788.0;320.0;468.0
13900;991.5;273.5;718.0
14000;909.0;341.0;568.0
14100;859.0;341.0;518.0
14200;831.0;313.0;518.0
14300;789.0;271.0;518.0
14400;662.0;313.0;349.0
14500;822.0;229.0;593.0
14600;906.0;313.0;593.0
14700;639.0;229.0;410.0
14800;814.5;313.0;501.5
14900;695.0;285.0;410.0
15000;761.0;229.0;532.0
15100;1037.0;383.0;654.0
15200;945.5;383.0;562.5
15300;945.5;383.0;562.5
15400;945.5;383.0;562.5
15500;987.5;425.0;562.5
15600;1047.0;393.0;654.0
15700;939.5;377.0;562.5
15800;947.5;385.0;562.5
15900;947.5;385.0;562.5
16000;978.0;385.0;593.0
16100;1036.5;413.0;623.5
16200;1016.5;393.0;623.5
16300;1000.5;377.0;623.5
16400;1008.5;385.0;623.5
16500;1088.0;373.0;715.0
16600;1000.5;377.0;623.5
16700;909.0;377.0;532.0
16800;1000.5;377.0;623.5
16900;1092.0;377.0;715.0
