timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;0.0;0.0;0.0
100;-54.0;0.0;-54.0
200;-40.5;0.0;-40.5
300;0.0;0.0;0.0
400;-63.0;0.0;-63.0
500;-102.0;0.0;-102.0
600;-68.0;0.0;-68.0
700;-139.0;0.0;-139.0
800;-178.0;0.0;-178.0
900;-199.0;0.0;-199.0
1000;-271.0;0.0;-271.0
1100;-559.0;0.0;-559.0
1200;-331.0;0.0;-331.0
1300;-263.0;0.0;-263.0
1400;-473.0;0.0;-473.0
1500;-463.0;0.0;-463.0
1600;-303.0;0.0;-303.0
1700;-863.0;0.0;-863.0
1800;-383.0;0.0;-383.0
1900;-383.0;0.0;-383.0
2000;-383.0;0.0;-383.0
2100;-863.0;0.0;-863.0
2200;-383.0;0.0;-383.0
2300;-383.0;0.0;-383.0
2400;-383.0;0.0;-383.0
2500;-863.0;0.0;-863.0
2600;-303.0;0.0;-303.0
2700;-303.0;0.0;-303.0
2800;-423.0;0.0;-423.0
2900;-303.0;0.0;-303.0
3000;-703.0;0.0;-703.0
3100;177.0;0.0;177.0
3200;-183.0;0.0;-183.0
3300;177.0;0.0;177.0
3400;-303.0;0.0;-303.0
3500;-263.0;0.0;-263.0
3600;-223.0;0.0;-223.0
3700;-223.0;0.0;-223.0
3800;-343.0;0.0;-343.0
3900;-223.0;0.0;-223.0
4000;-223.0;0.0;-223.0
4100;257.0;0.0;257.0
4200;-343.0;0.0;-343.0
4300;-223.0;0.0;-223.0
4400;-223.0;0.0;-223.0
4500;-183.0;0.0;-183.0
4600;-143.0;0.0;-143.0
4700;-183.0;0.0;-183.0
4800;-543.0;0.0;-543.0
4900;-143.0;0.0;-143.0
5000;-143.0;0.0;-143.0
5100;-143.0;0.0;-143.0
5200;-143.0;0.0;-143.0
5300;-143.0;0.0;-143.0
5400;-103.0;0.0;-103.0
5500;-23.0;0.0;-23.0
5600;-183.0;0.0;-183.0
5700;-63.0;0.0;-63.0
5800;-63.0;0.0;-63.0
5900;-63.0;0.0;-63.0
6000;-183.0;0.0;-183.0
6100;-87.0;-24.0;-63.0
6200;-71.0;-8.0;-63.0
6300;-47.0;16.0;-63.0
6400;-103.0;40.0;-143.0
6500;-3.0;20.0;-23.0
6600;121.0;24.0;97.0
6700;-439.0;24.0;-463.0
6800;41.0;24.0;17.0
